,CREB3L1_CA_mean,CREB3L1_CA_std,CREB3L1_CA_n,pcDNA_mean,pcDNA_std,pcDNA_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(34:1),0.00017221578301306043,6.769095473475921e-05,3,0.00024366926880719372,1.5760655743499954e-06,3,0.8489863651278042,0.7067603717780606,-0.500706944983754
DAG(32:2),6.757598084108372e-05,3.839925176012643e-06,3,0.00011543160091324618,1.2204049641952277e-05,3,2.533823224977785,0.5854201129192615,-0.7724557825017949
DAG(33:2),0.0001008058890469774,1.0545122593679796e-05,3,0.00013400133290440643,1.4167341576439015e-05,3,1.5056767614460052,0.752275271163833,-0.4106674280973027
DAG(34:2),0.00012947193907237401,6.838444386144453e-06,3,0.00019768761585650866,1.4248507846699682e-06,3,4.144938580342535,0.6549319668377764,-0.6105830450364502
DAG(35:2),8.116040901722629e-05,2.055442431994944e-05,3,9.59847225640608e-05,1.2536714045208366e-05,3,0.46054636879683475,0.8455554889275148,-0.24202866139490167
DAG(36:1),0.00014533269817172903,5.985645478181465e-05,3,0.00019333616980034027,5.32790904232887e-06,3,0.622174686472449,0.7517098239911094,-0.4117522365479148
DAG(36:3),6.378715968352811e-05,3.624629895511709e-06,3,0.00014260260068010348,1.6183967736440056e-05,3,2.9252554640793083,0.4473071274949614,-1.1606623481260938
DAG(37:1),7.775635452842115e-05,1.8815596847066004e-05,3,8.853974962512842e-05,5.048369091243356e-06,3,0.40673590015957245,0.8782084301981486,-0.18736471147427644
DAG(36:4),1.3031889014941845e-05,7.405216779192414e-07,3,5.4734329197112144e-05,1.3339933084365877e-05,3,2.246541026222635,0.2380935183842433,-2.0703997482068304
DAG(37:2),9.644932774867538e-05,1.0415825327222668e-05,3,9.749160976888002e-05,3.7828308390698368e-06,3,0.05626401879581329,0.9893090079989905,-0.015506881610152842
DAG(38:2),0.00010016931893214267,2.3889112350557837e-05,3,0.00012548490277936085,1.6175071571227555e-05,3,0.6921239611208088,0.7982579315399368,-0.3250731123140603
DAG(38:3),0.00014728495239139545,2.7133041041081855e-05,3,0.00013118574292708208,2.221203921485886e-05,3,0.32697371636362516,1.1227207248676552,0.1669991040913055
DAG(38:4),7.401790446622616e-05,4.205979865892872e-06,3,8.394346590591266e-05,8.874954665172002e-06,3,0.8098581554744411,0.8817589751320075,-0.18154373944701793
DAG(39:1),9.160266270877597e-05,3.915124021103258e-06,3,9.424559030868471e-05,6.285642351585359e-06,3,0.24418261904826685,0.9719570158003966,-0.04103558194399084
DAG(38:6),3.168143357616269e-05,1.8002599871597836e-06,3,8.630079008120499e-05,1.739766175726934e-05,3,2.247272068258091,0.367104791814211,-1.4457361488468499
DAG(40:2),8.61846402250746e-05,2.2673138164724214e-05,3,9.553146293966198e-05,1.201529645145406e-05,3,0.24999153289144074,0.9021597447901446,-0.14854518179319934
DAG(40:6),3.618723892265707e-05,8.223936915443328e-07,3,9.782572494105298e-05,1.3126129261824871e-05,3,2.9022582844317797,0.36991536678580683,-1.4347328616728339
DAG(41:1),7.239380014983965e-05,1.4179333262765292e-05,3,8.838513589338116e-05,1.527147515298578e-05,3,0.594225268140433,0.8190721145370888,-0.2879376165194025
DAG(41:2),8.08772432379123e-05,1.0433530046299497e-06,3,7.151232016739339e-05,1.3934611673244503e-05,3,0.5082458661205707,1.1309553801162913,0.17754201141898432
DAG(42:1),7.63025035862537e-05,3.1607295772978616e-05,3,0.00010139502815912652,1.4831861952139424e-05,3,0.5510582989357944,0.752527071312675,-0.4101846127544954
DAG(42:2),6.900490990470302e-05,1.667465576433076e-05,3,7.461586757087647e-05,9.712155280015279e-06,3,0.1931461237830474,0.9248020850143747,-0.11278344441413864
DAG(43:1),6.937992470724986e-05,6.249249200484666e-07,3,7.731094984558302e-05,9.498866462561999e-06,3,0.6527003931432701,0.8974139477761663,-0.15615448806150092
DAG(44:1),7.160032495770925e-05,2.85141529734843e-05,3,9.05461794261612e-05,1.2653809537272994e-05,3,0.4532250147654248,0.7907603105009864,-0.33868763312772615
DAG(44:2),5.350976108785329e-05,1.014922383254138e-05,3,5.719796723290923e-05,9.150235066482239e-06,3,0.17751378144272878,0.935518580056567,-0.09616178819919692
DAG(43:2),5.79386550926987e-05,6.523369196686322e-06,3,6.263937460680048e-05,1.8879231898782752e-05,3,0.15216256124727792,0.9249558357884461,-0.11254361251256717
DAG(32:3),0.00014612747473143785,5.4502130043113086e-05,3,0.0001640335072605021,7.3598768376044505e-06,3,0.21973966359697739,0.8908391777502652,-0.1667630878358213
DAG(31:3),7.047833928147727e-05,1.9823494964351234e-06,3,6.606745342217616e-05,1.3482161068518815e-05,3,0.21827321401740377,1.0667633703257065,0.09324019273420561
DAG(32:1),0.0001170086123585057,6.648875988383283e-06,3,9.607623941845031e-05,1.126233896588463e-05,3,1.2991308128952028,1.217872525681262,0.284363134728754
DAG(26:3),5.873024086290522e-05,3.3372764653332023e-06,3,7.186638571400579e-05,6.612269080196932e-06,3,1.4291635871767712,0.8172143385173674,-0.29121357764145034
