,siCREB3L1_mean,siCREB3L1_std,siCREB3L1_n,Scramble_mean,Scramble_std,Scramble_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(34:0),0.00019341222694962534,0.00017674872645822418,3,0.0003307892454692939,2.760029997566549e-05,3,0.594731056012622,0.5846992597211845,-0.7742333301434356
DAG(34:1),0.0002937273265166573,6.176597907167488e-05,3,0.0003259793855464449,5.1332269119972064e-05,3,0.2798433103651139,0.9010610472324102,-0.15030324239359105
DAG(32:2),0.00011121031874185018,9.256590721719029e-06,3,9.18439868549038e-05,7.663252729272093e-06,3,1.3076317965028623,1.2108611848214028,0.276033481507177
DAG(33:0),2.410411214341582e-05,1.8211704512129035e-06,3,2.4511103859576775e-05,2.0451505861359975e-06,3,0.09175227887075865,0.9833956186350237,-0.024156167416046814
DAG(33:2),0.00011795322102123384,2.481613676183273e-05,3,0.00012642492455396616,1.208447993099927e-05,3,0.20540660802045735,0.9329902425283547,-0.10006610183772906
DAG(34:2),0.00014634884341605184,2.5769260772678313e-05,3,0.0001701045260570035,3.562160677240679e-05,3,0.39542668383953944,0.8603465575455004,-0.21701018374643755
DAG(35:1),0.00013269653815691567,2.2350049818636468e-05,3,0.00014345097927366646,1.1969222439922676e-05,3,0.29820311536061395,0.9250305493123601,-0.11242708318957893
DAG(35:2),0.00010158687818712737,6.919118777055159e-06,3,0.00010512864639876196,7.779632421297152e-06,3,0.23107530705229312,0.9663101511057189,-0.04944177782821953
DAG(36:1),0.00019915564475334163,3.587684225801733e-05,3,0.0002290134109759109,3.637220867890317e-05,3,0.4333608727346692,0.8696243766016397,-0.20153571350397745
DAG(36:3),7.170432749677849e-05,8.426400485678466e-06,3,0.00010888872396074037,1.1445739829470796e-05,3,1.9760984187475998,0.6585101274823585,-0.6027224664690175
DAG(37:1),0.00010553168574385073,2.1838927616266748e-05,3,0.00010157933447216208,9.048269556242323e-06,3,0.10429012737657717,1.0389090093199203,0.055069304337087226
DAG(36:4),1.810957097727415e-05,1.9141792330684595e-06,3,2.1169844235036443e-05,2.926737365953628e-06,3,0.6899855540669321,0.855441862311982,-0.22525828553128238
DAG(37:2),9.123902695689464e-05,9.458975682803542e-06,3,0.00011731166637232646,2.7606768966886802e-05,3,0.7062897315224119,0.7777489637502729,-0.3626235273306474
DAG(38:1),0.0001424738814144201,1.1179342245990812e-05,3,0.00016952217914797073,1.4144543878307005e-05,3,1.2208300369988276,0.8404439002052883,-0.25077657238817486
DAG(38:2),0.00012230386155010365,1.5140666103719068e-05,3,0.0001555828677925539,2.32167588957563e-05,3,0.9743981972221101,0.7861010873843594,-0.34721324946354054
DAG(38:3),9.570566859580083e-05,4.529573267554826e-06,3,0.0001607736217960463,7.911944608477849e-06,3,3.6089041444892116,0.595282158395429,-0.7483544398631271
DAG(39:1),0.00010529155996872462,1.273999305378863e-05,3,9.93024450170838e-05,1.278330818196291e-05,3,0.22459178216974587,1.060311857886384,0.08448865125570014
DAG(38:5),1.7697499840409738e-05,1.3371230426549094e-06,3,2.963214869798008e-05,1.0489545080930662e-05,3,0.912663387978802,0.5972398431442845,-0.7436176809399031
DAG(40:1),0.00011390214997648695,1.4967975477451444e-05,3,0.00011332836015058118,9.455859822373357e-06,3,0.01866757166129018,1.0050630735779056,0.007286041785032274
DAG(40:2),0.00011199135777924313,9.287457071694027e-06,3,0.0001213697656252953,1.8088926801233073e-05,3,0.32871767638696053,0.922728631815883,-0.11602167138987779
DAG(40:3),2.8757032801172246e-05,2.1727188328054924e-06,3,6.72051898429741e-05,5.607447717824351e-06,3,3.422285042748521,0.4278989891757388,-1.2246578239953019
DAG(41:1),9.5529460006271e-05,1.5091946275882296e-05,3,9.551199528001048e-05,6.3716966437850404e-06,3,0.0006018736765384545,1.0001828537474202,0.00026377807894089846
DAG(41:2),8.03190037837726e-05,1.1479450772312413e-05,3,9.659288713833863e-05,9.648006361597035e-06,3,0.8750922671623699,0.8315208931351347,-0.26617558117186096
DAG(42:1),8.605895174622378e-05,1.4446132449656044e-05,3,9.789671583889958e-05,1.0312307070465464e-05,3,0.5053956496580851,0.8790790478389876,-0.1859351948227176
DAG(42:2),8.282944294668263e-05,1.6993050809873173e-05,3,9.487737967469955e-05,1.2491216486049649e-05,3,0.42198643352280396,0.873015709652554,-0.1959204799399614
DAG(43:1),7.150655243667623e-05,1.1346466897840237e-05,3,8.886044547446225e-05,6.568107450224052e-06,3,1.0777382686767532,0.8047062115756174,-0.31346592590137184
DAG(44:1),8.269546519936977e-05,1.6796114247822675e-05,3,8.864349195275932e-05,1.3590801775120414e-05,3,0.18153155172997648,0.9328994535034854,-0.10020649692788697
