,CREB3L1_CA_mean,CREB3L1_CA_std,CREB3L1_CA_n,pcDNA_mean,pcDNA_std,pcDNA_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(34:1),0.00024366926880719378,1.5760655743497654e-06,3,0.0001722157830130605,6.769095473475936e-05,3,0.8489863651278021,1.4149067207662052,0.5007069449837537
DAG(32:2),0.00011543160091324618,1.220404964195232e-05,3,6.757598084108374e-05,3.839925176012716e-06,3,2.533823224977776,1.7081749976327085,0.7724557825017943
DAG(33:2),0.00013400133290440645,1.416734157643908e-05,3,0.00010080588904697742,1.0545122593679684e-05,3,1.505676761446007,1.329300640778629,0.4106674280973028
DAG(34:2),0.00019768761585650866,1.4248507846699638e-06,3,0.00012947193907237404,6.8384443861443305e-06,3,4.144938580342564,1.5268761499432124,0.6105830450364499
DAG(35:2),9.598472256406081e-05,1.2536714045208418e-05,3,8.11604090172263e-05,2.055442431994945e-05,3,0.46054636879683375,1.1826544952932414,0.2420286613949016
DAG(36:1),0.00019333616980034027,5.327909042328945e-06,3,0.00014533269817172903,5.985645478181469e-05,3,0.6221746864724486,1.3303005602489335,0.4117522365479149
DAG(36:3),0.0001426026006801035,1.6183967736440158e-05,3,6.378715968352812e-05,3.6246298955117723e-06,3,2.9252554640792976,2.2356004153125513,1.1606623481260938
DAG(37:1),8.853974962512845e-05,5.048369091243291e-06,3,7.775635452842118e-05,1.881559684706597e-05,3,0.4067359001595738,1.1386818500186473,0.1873647114742764
DAG(36:4),5.473432919711217e-05,1.3339933084365921e-05,3,1.3031889014941849e-05,7.405216779192542e-07,3,2.2465410262226313,4.200030335921059,2.070399748206831
DAG(37:2),9.749160976888003e-05,3.7828308390697834e-06,3,9.644932774867539e-05,1.0415825327222566e-05,3,0.05626401879581395,1.0108065244676518,0.015506881610152741
DAG(38:2),0.0001254849027793609,1.6175071571227687e-05,3,0.00010016931893214268,2.38891123505578e-05,3,0.6921239611208088,1.252727922252997,0.32507311231406055
DAG(38:3),0.00013118574292708208,2.2212039214858977e-05,3,0.0001472849523913955,2.713304104108185e-05,3,0.3269737163636259,0.8906934537241025,-0.16699910409130608
DAG(38:4),8.394346590591269e-05,8.874954665172029e-06,3,7.401790446622619e-05,4.205979865892945e-06,3,0.809858155474436,1.13409676363123,0.18154373944701785
DAG(39:1),9.424559030868472e-05,6.285642351585277e-06,3,9.160266270877598e-05,3.915124021103351e-06,3,0.2441826190482677,1.028852082698853,0.04103558194399086
DAG(38:6),8.630079008120502e-05,1.7397661757269414e-05,3,3.168143357616269e-05,1.8002599871598154e-06,3,2.2472720682580847,2.7240178344119594,1.4457361488468503
DAG(40:2),9.553146293966202e-05,1.201529645145415e-05,3,8.61846402250746e-05,2.267313816472421e-05,3,0.2499915328914416,1.1084511426882775,0.14854518179320017
DAG(40:6),9.7825724941053e-05,1.3126129261824956e-05,3,3.6187238922657074e-05,8.223936915443009e-07,3,2.9022582844317695,2.7033210560810055,1.4347328616728336
DAG(41:1),8.838513589338116e-05,1.527147515298569e-05,3,7.239380014983967e-05,1.417933326276528e-05,3,0.594225268140435,1.2208937189433744,0.2879376165194023
DAG(41:2),7.15123201673934e-05,1.3934611673244513e-05,3,8.087724323791232e-05,1.0433530046299941e-06,3,0.5082458661205701,0.8842081814909217,-0.17754201141898426
DAG(42:1),0.00010139502815912655,1.4831861952139361e-05,3,7.63025035862537e-05,3.1607295772978576e-05,3,0.5510582989357962,1.3288558486748447,0.4101846127544957
DAG(42:2),7.461586757087648e-05,9.712155280015233e-06,3,6.900490990470303e-05,1.6674655764330756e-05,3,0.1931461237830477,1.081312441012129,0.11278344441413862
DAG(43:1),7.731094984558304e-05,9.498866462561935e-06,3,6.937992470724989e-05,6.249249200484571e-07,3,0.6527003931432738,1.1143129683665454,0.15615448806150067
DAG(44:1),9.054617942616121e-05,1.2653809537273068e-05,3,7.160032495770927e-05,2.8514152973484274e-05,3,0.4532250147654248,1.2646057050668738,0.33868763312772604
DAG(44:2),5.719796723290924e-05,9.150235066482208e-06,3,5.35097610878533e-05,1.0149223832541324e-05,3,0.1775137814427292,1.0689258570786846,0.0961617881991967
DAG(43:2),6.263937460680046e-05,1.8879231898782688e-05,3,5.793865509269872e-05,6.523369196686385e-06,3,0.15216256124727703,1.0811326998629989,0.11254361251256624
DAG(32:3),0.00016403350726050214,7.359876837604547e-06,3,0.0001461274747314379,5.450213004311306e-05,3,0.21973966359697705,1.1225370695139503,0.16676308783582097
DAG(31:3),6.606745342217618e-05,1.3482161068518826e-05,3,7.047833928147729e-05,1.9823494964350514e-06,3,0.21827321401740377,0.9374150142544526,-0.09324019273420557
DAG(32:1),9.607623941845034e-05,1.1262338965884539e-05,3,0.00011700861235850574,6.648875988383393e-06,3,1.2991308128952057,0.8211039980893017,-0.2843631347287542
DAG(26:3),7.186638571400579e-05,6.612269080196891e-06,3,5.873024086290523e-05,3.3372764653332692e-06,3,1.4291635871767707,1.2236691806145394,0.29121357764145006
DAG(29:1),3.412021215361698e-05,3.6073723280476744e-06,3,2.085851006303069e-05,2.3950902876096793e-06,3,2.216974710455794,1.6357933548710715,0.7099905082230387
DAG(29:3),5.702928454983369e-05,7.0162088791333945e-06,3,4.519351947090411e-05,2.5680682847512528e-06,3,1.2864879293062113,1.261890758177166,0.33558702168520843
DAG(30:3),4.055267025836078e-05,1.3419853976790092e-05,3,4.664491469962986e-05,6.842779280606992e-06,3,0.2821449207151043,0.8693910262136801,-0.20192289058012564
DAG(31:3),3.195623821692123e-05,6.768524383667154e-06,3,3.54358145056923e-05,2.762102822285645e-06,3,0.3410104358390723,0.9018062280405006,-0.14911062135890357
DAG(32:3),4.002393859740677e-05,6.25077588201881e-06,3,3.46677946476277e-05,1.9699564224945888e-06,3,0.6385669652660609,1.1544991253184773,0.20726708008545983
DAG(33:2),0.00010744124317103457,1.1094732738426762e-05,3,8.49163560481796e-05,6.137708141816062e-06,3,1.4313357995232368,1.2652596999107553,0.33943353457939685
DAG(33:3),4.721967253557689e-05,3.0580794834552245e-06,3,3.581526231137523e-05,4.653464500728316e-06,3,1.622423133657298,1.3184231941414406,0.3988135282303211
DAG(34:2),9.029255009340401e-05,2.860928068418904e-06,3,7.52360315449804e-05,2.2986885250704138e-05,3,0.490502719980278,1.2001237736658394,0.2631832045382746
DAG(34:3),3.66618533160668e-05,3.876088300737673e-06,3,3.604399119444809e-05,2.0481571633718105e-06,3,0.08663395427905009,1.0171418897059845,0.024520946940347618
DAG(35:1),1.9288655527200727e-05,2.0393003971017686e-06,3,1.7504491454105402e-05,9.946720209061894e-07,3,0.6110818451333248,1.1019260729609415,0.14002743829181613
DAG(35:2),8.453427627185823e-05,1.203839650035803e-05,3,8.374591724009406e-05,1.8698445977215738e-05,3,0.020458374782685463,1.0094137010823345,0.013517574024972792
DAG(36:2),9.355590224264603e-05,1.223712192918461e-05,3,8.227345377488432e-05,1.863563261422334e-05,3,0.36630487235765213,1.1371335218116967,0.18540166491247928
DAG(36:3),3.102982238977926e-05,5.843905808855693e-06,3,2.854526031308757e-05,5.949939279143892e-06,3,0.19855218714005687,1.0870393911087424,0.1204042203353794
DAG(37:2),7.38862517317591e-05,7.811651894786276e-06,3,7.417969477811335e-05,1.368768993833107e-05,3,0.010631315823974549,0.996044159426215,-0.005718389568971824
DAG(38:2),8.358915116590316e-05,5.89054682594155e-06,3,8.462375355690328e-05,1.215019109337005e-06,3,0.10758127873164733,0.9877740900454808,-0.017746968500569074
DAG(38:3),4.015752754117814e-05,1.957615842741004e-06,3,3.471944790458921e-05,4.943287417849288e-06,3,0.820550880443011,1.1566292082619818,0.20992643995291194
DAG(38:6),0.00010107103662268795,2.5168658019869557e-05,3,2.8047325080430983e-05,1.5937560706582051e-06,3,2.1301833768116354,3.6035891598520617,1.84943454088781
