Lipid identifier	01PCCL3Ctrl	02PCCL3Ctrl	03PCCL3Ctrl	04PCCL3TSH0	05PCCL3TSH0	06PCCL3TSH0	07PCCL3TSH24h	08PCCL3TSH24h	09PCCL3TSH24h	10PCCL3TSH48h	11PCCL3TSH48h	12PCCL3TSH48h	13Blank	14BlankStdrmix
2010063_36:4_NH4 1	0	0	0	0	333473.1953125	0	0	0	0	0	0	0	0	0
2010108_38:4_NH4 1	0	0	0	0	0	0	0	0	1242980.078125	0	0	0	0	0
2010119_38:5_NH4 1	0	0	0	0	483724.48828125	460355.7578125	0	0	0	0	0	0	0	0
2010151_40:3_NH4 1	0	0	0	0	0	0	0	0	588285.84375	0	461080.40625	0	0	0
2010175_40:5_NH4 1	406815.91015625	0	0	0	0	0	0	0	0	0	0	0	0	0
2010186_40:6_NH4 1	0	0	558982.765625	362733.5234375	0	419776.4921875	0	449908.83984375	0	0	0	0	0	0
2010258_44:0_NH4 1	0	0	0	0	0	0	0	0	0	0	269925.5751953125	0	0	0
2010271_44:2_NH4 1	0	0	0	0	0	462993.09375	0	0	0	342711.65625	0	0	0	0
DGOTheo_36:3_NH4 1	0	0	0	0	366832.4609375	369335.0078125	0	308230.7509765625	0	0	0	331360.80078125	0	0
DGOTheo_38:3_NH4 1	347808.876953125	0	418058.4609375	0	307168.9453125	457417.7421875	0	361030.3515625	0	350704.52734375	418073.625	467357.859375	0	0
DGOTheo_39:3_NH4 1	0	262623.02734375	0	0	0	0	0	0	0	0	0	0	0	0
DGOTheo_40:6_NH4 1	384972.91650390625	330837.20703125	0	0	0	0	0	0	0	0	0	0	0	0
DGOTheo_41:1_NH4 1	0	434681.0234375	0	0	0	0	391816.806640625	0	0	0	0	0	382459.5546875	0
DGOTheo_41:2_NH4 1	0	0	640658.81640625	0	688467.3984375	0	696587.85546875	0	0	0	0	0	0	622251.07421875
DGOTheo_42:3_NH4 1	0	0	0	0	0	361674.8828125	0	0	0	0	0	307544.89453125	0	358633.69140625
DGOTheo_43:2_NH4 1	0	0	0	0	0	360485.95703125	0	0	0	0	283299.283203125	0	0	0
DGOTheo_43:3_NH4 1	0	0	0	0	0	0	0	0	0	0	0	0	57692.1064453125	0
DGOTheo_44:1_NH4 1	303283.18359375	369299.55078125	0	0	285169.478515625	0	0	0	520562.84765625	0	0	337994.794921875	0	402162.9912109375
