Class	Lipid	Occurence	m/z	RTmin	RTmax	01pcDNA	02pcDNA	03pcDNA	04Creb3L1ACAoverex	05Creb3L1ACAoverex	06Creb3L1ACAoverex	07Scram	08Scram	09Scram	10siCreb3L1	11siCreb3L1	12siCreb3L1	BlankCal25	BlankCal5
GL02_DAG	2010003_34:0	NH4 1	614.57178	0.69	0.73	9606318.109375	0	0	0	0	0	0	5876273.359375	0	7570891.8125	0	512256.7109375	0	423398.265625
GL02_DAG	2010004_34:1	NH4 1	612.55615	0.72	0.73	6375471.875	0	5112208.25	2347739.14453125	4847248.5	0	4532914.4453125	7177505.0625	0	7263641.875	6298830.359375	4861257.046875	0	0
GL02_DAG	2010008_38:0	NH4 1	670.6344	0.71	0.73	484520.34765625	0	0	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010010_32:1	NH4 1	584.52484	0.72	0.73	0	0	0	0	0	3361093.1875	0	0	0	0	0	2881083.58984375	0	0
GL02_DAG	2010011_32:2	NH4 1	582.50922	0.72	0.73	0	2699994.0	0	1423794.828125	0	0	1631553.56640625	0	0	2247223.15625	0	2397069.34375	0	0
GL02_DAG	2010012_33:0	NH4 1	600.55615	0.71	0.73	0	586122.38671875	0	0	0	0	0	0	435425.119140625	0	503323.37109375	0	0	0
GL02_DAG	2010013_33:1	NH4 1	598.54047	0.72	0.73	0	0	0	0	0	0	0	0	0	0	0	2437175.390625	0	0
GL02_DAG	2010016_33:2	NH4 1	596.52484	0.72	0.73	3134347.890625	0	0	0	1797590.984375	2475491.609375	2276403.6875	2212196.703125	0	2002217.84375	0	2923043.40625	0	0
GL02_DAG	2010019_33:3	NH4 1	594.50922	0.71	0.73	0	0	0	0	0	0	0	0	0	773786.96875	0	0	0	275854.61328125
GL02_DAG	2010021_34:2	NH4 1	610.54047	0.72	0.73	5118185.25	4654960.8125	4195878.5625	0	2445169.71875	3032505.1875	2328098.53125	3235176.125	3533363.90625	3500061.46875	2845860.65625	2796395.40625	0	0
GL02_DAG	2010025_35:0	NH4 1	628.58746	0.71	0.73	0	340672.0703125	0	0	0	0	0	0	0	598608.85546875	294849.275390625	432713.693359375	0	0
GL02_DAG	2010029_35:1	NH4 1	626.57178	0.72	0.73	0	0	0	1751452.4833984375	2011625.36328125	2445076.2421875	0	2548320.9609375	0	3172395.4453125	2689120.6875	2441693.328125	0	0
GL02_DAG	2010033_35:2	NH4 1	624.55615	0.71	0.73	2481145.734375	2573727.625	1761541.9921875	1227126.8125	1880423.5390625	2021349.7109375	1661810.90625	2232062.390625	1759165.125	2187210.15625	2188144.625	1997030.296875	0	1334954.453125
GL02_DAG	2010043_36:1	NH4 1	640.58746	0.71	0.73	4901358.6875	0	4192781.875	1644034.5234375	3745369.90625	3772067.5625	3178970.18359375	5048634.0	0	4806820.125	3947100.6484375	3696707.76171875	0	0
GL02_DAG	2010056_36:3	NH4 1	636.55615	0.71	0.73	3272995.03125	3394526.6875	0	0	1343966.109375	0	1619319.2734375	2281613.15625	0	1630895.515625	1541737.1796875	1325124.328125	0	0
GL02_DAG	2010059_37:1	NH4 1	654.60309	0.72	0.73	2390757.21875	1958704.37890625	1911641.12890625	1214368.7822265625	0	2072840.60546875	1563393.265625	2002766.853515625	1875128.5546875	2595901.95703125	2288990.546875	1737712.24609375	0	0
GL02_DAG	2010063_36:4	NH4 1	634.54047	0.68	0.72	1025467.015625	1520593.8359375	0	0	0	274575.90625	308386.484375	473292.4609375	360009.91015625	405422.625	0	350922.03125	0	0
GL02_DAG	2010066_37:2	NH4 1	652.58746	0.71	0.73	2632323.859375	0	1974562.078125	0	1713288.78125	2375633.71875	1565437.5859375	2209107.0703125	2496017.28125	2037235.375	0	1773345.890625	1251232.1328125	0
GL02_DAG	2010081_38:1	NH4 1	668.61877	0.71	0.73	0	0	0	1094124.4375	0	0	3011460.25390625	0	0	0	2964255.390625	2984894.125	0	0
GL02_DAG	2010089_38:2	NH4 1	666.60309	0.71	0.73	2840975.890625	3354808.0	2638220.90625	1575722.5625	2106025.65625	2671243.0625	2335936.4765625	2885879.3125	3087646.453125	2793041.0625	2671844.71875	2212154.4375	0	0
GL02_DAG	2010098_38:3	NH4 1	664.58746	0.69	0.73	2742093.671875	3376366.0625	0	3778357.59375	2460791.078125	0	0	3121785.3125	2614477.484375	2021814.28125	2135184.53125	1855694.640625	0	0
GL02_DAG	2010108_38:4	NH4 1	662.57178	0.69	0.72	0	0	1963473.1953125	0	0	1559523.1953125	0	0	0	0	0	0	0	0
GL02_DAG	2010118_39:1	NH4 1	682.6344	0.72	0.73	2615315.2109375	2086307.8359375	1976473.3837890625	0	1903530.84375	1958568.25	1468290.591796875	1942706.9140625	1906434.51171875	2398973.62890625	2190194.03515625	2006088.78125	0	0
GL02_DAG	2010119_38:5	NH4 1	660.55615	0.68	0.72	1226927.453125	1520897.328125	1620895.296875	0	0	0	298269.3466796875	727683.6953125	581412.09375	0	0	369545.462890625	0	0
GL02_DAG	2010128_40:1	NH4 1	696.65002	0.71	0.72	0	0	0	0	0	0	2013210.625	0	0	0	2223620.546875	2520157.1015625	0	1293459.71484375
GL02_DAG	2010130_38:6	NH4 1	658.54047	0.69	0.72	1725275.671875	2338511.15625	1971860.453125	0	667513.23046875	0	0	0	0	0	0	0	0	0
GL02_DAG	2010139_40:2	NH4 1	694.6344	0.71	0.73	0	2584260.6875	1912303.09375	1280304.046875	1979146.03125	2189921.1875	2301875.5390625	1988455.9375	2154526.625	2062755.53125	2780121.578125	2227846.1875	0	1012681.5703125
GL02_DAG	2010151_40:3	NH4 1	692.61877	0.69	0.73	0	0	0	0	1185392.734375	1233792.9140625	0	1193860.0546875	0	0	0	600482.05078125	0	0
GL02_DAG	2010175_40:5	NH4 1	688.58746	0.68	0.71	1114755.5859375	1224062.28125	0	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010186_40:6	NH4 1	686.57178	0.68	0.71	2147212.53125	2483898.8125	2228383.37109375	0	706202.4453125	823040.41015625	0	0	0	745627.8671875	0	0	0	0
GL02_DAG	2010189_41:0	NH4 1	712.68134	0.69	0.72	0	0	0	0	0	487895.91796875	0	0	0	0	0	0	125705.94677734375	0
GL02_DAG	2010197_40:7	NH4 1	684.55615	0.69	0.71	1799415.015625	1766777.234375	1597935.640625	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010199_41:1	NH4 1	710.66571	0.71	0.73	2752976.2578125	1898950.734375	1661415.373046875	1195556.46875	1585739.30078125	1800406.78125	1642769.361328125	1739820.03125	1713599.90625	2107911.240234375	1787622.58203125	2062863.39453125	1331100.00390625	1702628.45703125
GL02_DAG	2010200_42:0	NH4 1	726.69702	0.68	0.72	0	0	311633.765625	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010209_41:2	NH4 1	708.65002	0.71	0.72	0	1487009.359375	1843785.1953125	0	1627517.28125	1786488.421875	1671266.484375	1691495.359375	1781782.53125	1794891.796875	1918759.140625	1348643.078125	867809.4375	1058291.140625
GL02_DAG	2010210_42:1	NH4 1	724.68134	0.71	0.73	3037550.06640625	2362110.41015625	1840431.046875	905170.595703125	0	2327758.7890625	1538837.1328125	1828457.7890625	1862742.6953125	1917907.03125	1588891.96875	1858225.80078125	1055381.78515625	1096563.529296875
GL02_DAG	2010212_41:3	NH4 1	706.6344	0.69	0.73	0	0	0	0	0	0	0	0	0	0	0	276868.3818359375	0	0
GL02_DAG	2010219_42:2	NH4 1	722.66571	0.71	0.72	2056620.4375	1502045.078125	1709296.453125	1063289.76953125	1590636.375	1706989.59375	1491790.34375	1713959.125	1855047.0859375	1526119.1796875	1605119.47265625	2041290.8359375	876816.984375	1118969.9140625
GL02_DAG	2010246_42:6	NH4 1	714.60309	0.69	0.71	732885.390625	1148674.1875	806458.625	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010253_42:7	NH4 1	712.58746	0.69	0.71	805695.4296875	1634324.8125	1359338.015625	0	0	0	0	0	0	0	0	0	0	0
GL02_DAG	2010259_43:1	NH4 1	738.69702	0.71	0.72	2231122.02734375	1588505.142578125	1661155.41015625	0	1383798.109375	1545835.2109375	1455327.806640625	1655381.2890625	1635811.03125	1662511.75390625	1379578.130859375	1423385.91015625	0	1014298.53125
GL02_DAG	2010265_44:1	NH4 1	752.71265	0.69	0.72	2066860.59375	2470857.4375	1845381.333984375	849921.8359375	1586599.904296875	2105815.9375	1234764.271484375	1885089.5546875	1647650.224609375	1918527.03125	1458469.150390625	1769885.7734375	1034636.62890625	1039787.041015625
GL02_DAG	2010271_44:2	NH4 1	750.69702	0.69	0.72	1604908.8125	1104394.3671875	1329110.78125	0	862101.4375	1413251.21875	1156439.9921875	1084209.21484375	1062194.2109375	0	1103169.4765625	1333541.625	664723.71875	883355.046875
GL02_DAG	2010272_44:3	NH4 1	748.68134	0.68	0.73	0	0	0	0	0	0	0	0	0	0	0	0	90735.7890625	0
GL02_DAG	2010273_43:2	NH4 1	736.68134	0.68	0.72	2190267.015625	1269285.732421875	1051621.35546875	0	1286400.078125	1150008.3125	874595.68359375	1085782.921875	1739214.609375	1748593.015625	1387860.3828125	1447550.21875	554083.10546875	842836.6171875
GL02_DAG	2010327_30:2	NH4 1	554.47791	0.72	0.73	3298913.734375	0	0	0	0	0	2491840.84375	0	0	3674723.1875	0	3162972.625	0	0
GL02_DAG	2010332_29:0	NH4 1	544.49353	0.72	0.73	0	0	0	0	0	0	0	0	0	0	0	486771.4296875	0	0
GL02_DAG	2010333_29:1	NH4 1	542.47791	0.72	0.73	0	0	0	0	0	0	0	0	0	0	0	2972462.38671875	0	0
GL02_DAG	2010334_29:2	NH4 1	540.46222	0.73	0.73	0	0	0	0	0	0	0	0	0	0	0	2909320.84375	0	0
GL02_DAG	2010336_30:1	NH4 1	556.49353	0.73	0.73	0	0	0	0	0	0	0	0	0	0	0	2943221.671875	0	0
GL02_DAG	2010339_31:0	NH4 1	572.52484	0.71	0.73	0	491811.71875	0	0	0	0	0	0	0	0	0	504531.232421875	0	0
GL02_DAG	2010343_32:3	NH4 1	580.49353	0.71	0.72	4073755.34375	3873979.5	3611696.375	1783594.7890625	3396652.15625	4069570.9375	3333664.1171875	4396339.953125	3741477.015625	4240886.375	3849653.125	5482773.0	2179065.125	2233900.74609375
GL02_DAG	2010360_31:1	NH4 1	570.50922	0.72	0.73	0	0	0	0	0	0	0	0	0	0	0	2833864.6328125	0	0
GL02_DAG	2010361_31:2	NH4 1	568.49353	0.72	0.73	2667985.21875	0	2098908.34375	0	0	0	0	0	0	2572946.484375	0	2292018.265625	0	0
GL02_DAG	2010362_31:3	NH4 1	566.47791	0.69	0.73	0	1358191.171875	1717772.984375	0	1367175.7421875	1611816.2734375	1070846.484375	1489538.921875	1427072.283203125	1607586.02734375	1470009.33984375	2309638.73828125	921721.3046875	691880.234375
