lipid class;#db bonds;01PCCL3Ctrl;02PCCL3Ctrl;03PCCL3Ctrl;04PCCL3TSH0;05PCCL3TSH0;06PCCL3TSH0;07PCCL3TSH24h;08PCCL3TSH24h;09PCCL3TSH24h;10PCCL3TSH48h;11PCCL3TSH48h;12PCCL3TSH48h;13Blank;14BlankStdrmix
GL02_DAG;0;1.57E+07;9.85E+06;1.56E+07;1.81E+06;1.14E+06;1.66E+06;5.12E+06;7.04E+06;6.01E+06;1.25E+07;1.38E+07;1.30E+07;7.78E+04;1.35E+05
GL02_DAG;1;5.11E+07;4.29E+07;5.82E+07;1.38E+07;1.55E+07;1.43E+07;1.88E+07;2.29E+07;2.51E+07;6.16E+07;6.65E+07;6.33E+07;4.98E+06;3.83E+06
GL02_DAG;2;4.70E+07;4.70E+07;5.93E+07;1.74E+07;1.87E+07;1.76E+07;1.95E+07;2.26E+07;2.26E+07;7.42E+07;7.75E+07;7.34E+07;7.12E+06;9.00E+06
GL02_DAG;3;1.97E+07;1.92E+07;2.71E+07;1.14E+07;1.09E+07;1.05E+07;5.97E+06;1.07E+07;9.86E+06;2.85E+07;3.13E+07;2.97E+07;5.95E+06;4.63E+06
GL02_DAG;4;7.21E+06;5.49E+06;9.74E+06;4.23E+06;3.75E+06;3.97E+06;2.33E+06;2.91E+06;2.40E+06;7.25E+06;6.89E+06;7.17E+06;0.00E+00;0.00E+00
GL02_DAG;5;3.93E+06;3.56E+06;4.70E+06;2.26E+06;2.43E+06;2.17E+06;3.08E+05;6.86E+05;0.00E+00;1.90E+06;2.55E+06;2.01E+06;0.00E+00;0.00E+00
GL02_DAG;6;6.10E+06;5.66E+06;8.40E+06;1.52E+06;9.67E+05;1.20E+06;0.00E+00;8.20E+05;0.00E+00;2.51E+06;2.12E+06;1.57E+06;0.00E+00;0.00E+00
GL02_DAG;7;4.20E+06;4.35E+06;6.17E+06;1.30E+06;1.14E+06;1.19E+06;0.00E+00;0.00E+00;0.00E+00;1.69E+06;1.77E+06;1.37E+06;0.00E+00;0.00E+00
GL02_DAG;8;1.06E+06;0.00E+00;1.13E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL02_DAG;12;4.10E+05;0.00E+00;6.02E+05;0.00E+00;2.96E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GL02_DAG;13;3.53E+07;2.39E+07;3.43E+07;2.98E+07;2.92E+07;3.11E+07;2.31E+07;2.43E+07;3.06E+07;2.28E+07;2.52E+07;2.60E+07;0.00E+00;0.00E+00
GL02_DAG;14;1.08E+07;6.55E+06;1.04E+07;9.13E+06;9.03E+06;9.31E+06;7.57E+06;7.51E+06;9.45E+06;5.43E+06;6.07E+06;5.85E+06;0.00E+00;0.00E+00
GL02_DAG;SUM;2.02E+08;1.68E+08;2.36E+08;9.26E+07;9.31E+07;9.29E+07;8.28E+07;9.94E+07;1.06E+08;2.18E+08;2.34E+08;2.23E+08;1.81E+07;1.76E+07
GL03_TAG;0;9.25E+07;6.38E+07;7.98E+07;2.36E+07;2.24E+07;2.03E+07;6.69E+07;7.20E+07;8.36E+07;1.25E+08;1.43E+08;1.38E+08;1.13E+07;9.44E+06
GL03_TAG;1;2.45E+08;1.83E+08;2.41E+08;6.68E+07;7.20E+07;6.78E+07;1.79E+08;1.95E+08;2.33E+08;4.72E+08;5.10E+08;4.74E+08;2.05E+07;1.83E+07
GL03_TAG;2;2.35E+08;1.87E+08;2.38E+08;7.37E+07;7.46E+07;7.42E+07;1.92E+08;2.00E+08;2.46E+08;5.54E+08;5.89E+08;5.42E+08;1.68E+07;2.03E+07
GL03_TAG;3;1.06E+08;8.82E+07;1.12E+08;4.50E+07;4.22E+07;3.87E+07;8.82E+07;9.19E+07;1.13E+08;2.76E+08;2.77E+08;2.69E+08;1.12E+07;1.02E+07
GL03_TAG;4;3.41E+07;2.82E+07;4.18E+07;2.07E+07;1.82E+07;1.73E+07;2.35E+07;2.57E+07;3.02E+07;7.37E+07;7.10E+07;6.91E+07;0.00E+00;0.00E+00
GL03_TAG;5;1.61E+07;1.46E+07;1.95E+07;9.41E+06;9.23E+06;9.04E+06;7.80E+06;8.66E+06;7.54E+06;2.11E+07;2.16E+07;2.03E+07;0.00E+00;2.12E+05
GL03_TAG;6;1.51E+07;1.36E+07;1.96E+07;5.36E+06;4.23E+06;5.23E+06;3.22E+06;4.39E+06;3.53E+06;9.31E+06;9.27E+06;7.54E+06;0.00E+00;0.00E+00
GL03_TAG;7;1.11E+07;1.00E+07;1.56E+07;3.93E+06;3.25E+06;3.82E+06;2.25E+06;2.29E+06;2.56E+06;6.60E+06;6.20E+06;4.79E+06;0.00E+00;0.00E+00
GL03_TAG;8;2.72E+06;1.50E+06;3.57E+06;4.06E+05;3.70E+05;0.00E+00;3.34E+05;2.68E+05;4.14E+05;1.63E+06;1.64E+06;9.34E+05;0.00E+00;0.00E+00
GL03_TAG;12;4.10E+05;0.00E+00;6.02E+05;0.00E+00;2.96E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
