Class,PCCL3Ctrl,PCCL3Ctrl,PCCL3Ctrl,PCCL3TSH0,PCCL3TSH0,PCCL3TSH0,PCCL3TSH24,PCCL3TSH24,PCCL3TSH24,PCCL3TSH48,PCCL3TSH48,PCCL3TSH48
GL02_DAG,347808.876953125,382933.6689453125,418058.4609375,382293.34375,307168.9453125,457417.7421875,361030.3515625,361030.3515625,361030.3515625,350704.52734375,418073.625,467357.859375
GL02_DAG,322391.61474609375,355669.166015625,289114.0634765625,430466.4228515625,301597.802734375,366032.11279296875,372597.48095703125,323475.65234375,421719.3095703125,312265.5126953125,349158.9045410156,408337.953125
GL02_DAG,439409.953125,439409.953125,439409.953125,536775.84375,470965.3984375,422092.2255859375,532901.4951171875,479164.703125,586638.287109375,328125.04296875,328125.04296875,328125.04296875
GL02_DAG,635045.7895507812,668088.2021484375,602003.376953125,627430.935546875,519806.798828125,720404.75390625,650258.2890625,650258.2890625,650258.2890625,456398.216796875,456398.216796875,456398.216796875
GL02_DAG,347362.4140625,318516.3671875,376208.4609375,393159.423828125,431677.078125,412418.2509765625,434712.29150390625,441276.5302734375,428148.052734375,342539.4453125,342539.4453125,342539.4453125
GL02_DAG,35292799.375,23882272.25,34338002.75,29808032.25,29200497.125,31057749.25,23136390.75,24340786.375,30618193.0,22812587.6875,25201094.625,26003118.0
GL02_DAG,444396.9697265625,557540.09765625,490810.828125,695928.52734375,551659.5478515625,515137.1552734375,402047.734375,402047.734375,402047.734375,516270.671875,493847.63671875,473940.3037109375
GL02_DAG,388512.07421875,388512.07421875,388512.07421875,413640.8515625,413640.8515625,413640.8515625,389700.9697265625,433536.0888671875,411618.529296875,443844.4973144531,397508.2153320313,490180.779296875
GL02_DAG,10796030.03125,6554265.4375,10354081.0625,9132316.46875,9026854.0,9312264.71875,7570751.5,7514219.5625,9453057.78125,5429947.921875,6070587.125,5845172.015625
GL02_DAG,332952.3251953125,366013.01171875,299891.638671875,514349.5478515625,412266.1806640625,435157.45703125,426885.326171875,487764.2060546875,457324.76611328125,299810.7041015625,299810.7041015625,299810.7041015625
GL02_DAG,552557.78515625,495801.0546875,537346.69140625,515985.9096679688,515985.9096679688,515985.9096679688,574064.3359375,541299.671875,962020.62890625,746031.24609375,758042.939453125,752037.0927734375
GL02_DAG,3278676.140625,1646793.296875,2990292.375,433208.05859375,455179.5390625,359297.3125,1724164.8125,1842378.72265625,2057587.64453125,3161210.7265625,3454745.5390625,3343872.9609375
GL02_DAG,3153761.578125,1921320.71875,2964581.53125,1117927.11328125,852487.890625,944500.373046875,1986218.22265625,2588512.21875,2904526.890625,4164108.265625,4960499.40625,4102175.25
GL02_DAG,979710.3828125,855256.578125,909007.25,648394.625,648394.625,648394.625,965694.546875,1059878.265625,1143525.890625,1137100.921875,1557985.0,1242734.140625
GL02_DAG,5210335.578125,3456567.640625,4836344.421875,657529.642578125,596527.1923828125,535524.7421875,1875769.0546875,2407405.28125,2302056.296875,4341334.546875,4563273.609375,4696103.3828125
GL02_DAG,8802113.21875,6908792.78125,9477427.4375,1586514.50390625,1826639.60546875,1909712.05859375,4533547.90625,4886222.875,6006187.34375,12156674.3125,13955269.90625,13596782.78125
GL02_DAG,3168037.34375,2137904.8125,3130352.875,835405.75390625,957612.4765625,927511.703125,2452661.609375,2423654.921875,2575776.6875,5466636.3125,5173057.0,5477811.5
GL02_DAG,3766288.640625,2801715.03125,4095974.75,353731.3786621094,349460.1904296875,408743.5356445313,1090421.9375,1400128.0546875,1193904.86328125,2629538.0859375,3150629.453125,2670101.8828125
GL02_DAG,13196630.5,9799158.15625,13677235.09375,1878894.296875,1635609.51171875,1808869.2265625,3804033.171875,4530072.953125,4431457.421875,17193847.5625,18865186.25,17331586.5
GL02_DAG,7396171.875,6632888.8125,8513106.375,1205030.796875,1497894.578125,1548900.984375,3567899.53125,4023551.125,4860978.5,17059247.375,15239401.25,16810493.5
GL02_DAG,1905912.21875,1548991.04296875,2062940.4296875,367011.783203125,338438.2802734375,352010.28125,568845.7099609375,679685.37109375,458006.048828125,1265449.171875,1309463.40625,1100597.08984375
