,PCCL3Ctrl_mean,PCCL3Ctrl_std,PCCL3Ctrl_n,PCCL3TSH0_mean,PCCL3TSH0_std,PCCL3TSH0_n,PCCL3TSH24_mean,PCCL3TSH24_std,PCCL3TSH24_n,PCCL3TSH48_mean,PCCL3TSH48_std,PCCL3TSH48_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(38:3),1.850019062117592e-05,2.581564314290659e-06,3,1.742042595175156e-05,3.4863081292768677e-06,3,1.5725254372505067e-05,3.9992380032570725e-06,3,2.034222750268367e-05,1.4987187339558684e-06,3,0.5965169794422039,1.167722738756473,0.22369776488126225
DAG(47:1),1.5568945093206586e-05,2.3483576435400894e-06,3,1.6688106118949433e-05,3.0931258839388357e-06,3,1.5903732075020515e-05,2.7081819517255502e-06,3,1.7645038192520674e-05,1.7322820524125754e-06,3,0.17753228613117258,1.057342161342361,0.08044231578575084
DAG(47:2),2.1176976191012084e-05,1.4758250833619388e-06,3,2.1715278408012926e-05,2.761782108629662e-06,3,2.2855463645334277e-05,4.262262220782123e-06,3,1.638964728283317e-05,2.358585180765597e-06,3,1.1938675698851282,0.7547518836684773,-0.40592564254458013
DAG(48:2),3.063681500462518e-05,3.2189378208400794e-06,3,2.8366419676820252e-05,4.692330642980986e-06,3,2.8323039764061367e-05,7.203099823316316e-06,3,2.2796814672043198e-05,3.2806215000403773e-06,3,0.776535610738983,0.803654988249071,-0.3153518143401125
DAG(50:2),1.671346463717638e-05,1.401244872206482e-06,3,1.877646765087688e-05,6.989224215903487e-07,3,1.8978065832718322e-05,5.040850411346252e-06,3,1.710963795489353e-05,2.4621968876013927e-06,3,0.49159864433320766,0.9112277278678929,-0.13411644721702765
DAG(51:13),0.0014900613088666078,0.000232237053906372,3,0.0013673225659160265,4.8384816662237065e-05,3,0.0011048776566673485,0.00014808717147248715,3,0.0012249213534616798,9.733211005564348e-05,3,1.066473957897791,0.8958539733022352,-0.15866450675831248
DAG(51:2),2.4105626875767008e-05,4.40037042861177e-06,3,2.678012962660615e-05,4.576110642451448e-06,3,1.7511832081635207e-05,4.453599459095767e-06,3,2.4792729866698274e-05,4.547779011264936e-06,3,0.20626583442406687,0.9257882696007047,-0.11124581211941423
DAG(56:14),0.0004405182034547695,9.045513087937468e-05,3,0.00041704145539491513,8.71923439733086e-06,3,0.0003481221383009629,4.955873786209664e-05,3,0.0002872892036369019,2.485530784439099e-05,3,2.9848295759805894,0.6888744510179569,-0.537687022550484
DAG(57:2),1.6077703541272703e-05,2.3660167740477125e-06,3,2.068708866568857e-05,2.6364059543743526e-06,3,1.9934212946047446e-05,5.3954019727236795e-06,3,1.497536319503188e-05,2.1550597824872213e-06,3,1.3577006649318946,0.7238990191920959,-0.4661396333129949
DAG(46:1),2.541205289296233e-05,6.95583314692959e-07,3,2.349861192087025e-05,2.2311901496407445e-07,3,2.8433089911214626e-05,1.1110053433593449e-06,3,3.753737505535415e-05,5.113154023033907e-06,3,2.047492038383778,1.5974294644193596,0.6757522294013568
DAG(48:0),0.0001254028820449134,3.534183656409092e-05,3,1.8937556390617256e-05,2.2550407096960266e-06,3,8.051747314130076e-05,1.5453442118412538e-05,3,0.00016514408213702994,1.6299744527578882e-05,3,3.9828939332717486,8.720453617703905,3.1244031825928635
DAG(48:1),0.00012782768630249862,2.5264234495938628e-05,3,4.428799523833998e-05,6.566190928304304e-06,3,0.0001061100547624266,2.2072406441451528e-05,3,0.00021897605163907402,2.572154255617111e-05,3,3.4710849643178383,4.9443658594306195,2.3057854997264147
DAG(48:2),4.394138274884003e-05,1.688698292182791e-07,3,2.952866227346718e-05,2.8037426473737323e-07,3,4.54782306350496e-05,9.410457685440382e-06,3,6.475302286094906e-05,6.18186071514185e-06,3,3.2264162997219303,2.1928871095231615,1.132831543555859
DAG(50:0),0.00021502550945867653,3.244622874070069e-05,3,2.7175747000981277e-05,2.934759515480315e-06,3,9.505574667492872e-05,2.564949054703296e-05,3,0.00022569351631822408,2.4332270141741113e-05,3,3.8245823239458456,8.304960901721472,3.0539733762520322
DAG(50:1),0.0004027118218193719,5.312600322372309e-05,3,8.07677321835102e-05,7.141797440677475e-06,3,0.00021853744499286776,3.155050971717839e-05,3,0.0006565927434320079,4.41559317411237e-05,3,4.620668186594427,8.129394322229837,3.0231478687989526
DAG(50:2),0.00013443070474629046,2.1923992163400655e-05,3,4.128097887650388e-05,2.532046696718684e-06,3,0.00010760344075723796,2.4519822277784176e-05,3,0.00026882575594602376,4.419258758289586e-05,3,3.05578183454919,6.512097417802095,2.7031222817799487
DAG(52:0),0.00017032813094155325,2.747476789713403e-05,3,1.6879981532902992e-05,1.5182443002432963e-06,3,5.3787452792490946e-05,1.7085591801484963e-05,3,0.00013979027768077008,1.4321108882448134e-05,3,3.9139648070189756,8.281423614610388,3.0498787949221886
DAG(52:1),0.000585594280670137,8.023168395852884e-05,3,8.084574184012635e-05,6.434176014676958e-06,3,0.00018439192556840198,4.6588209534560826e-05,3,0.0008860319915522302,0.0001012081505088962,3,3.7904677589533566,10.959538144932502,3.4541150966479206
DAG(52:2),0.0003614486486120479,4.5045644977263316e-05,3,6.4501349201805e-05,8.011699717598722e-06,3,0.00017637304470898983,2.708861497254398e-05,3,0.0008209353656331089,0.00015675246585172367,3,2.948502044687587,12.727413857106354,3.6698673959362726
DAG(54:0),8.828175327631367e-05,1.0616929699816979e-05,3,1.6056787420787787e-05,8.036318797858269e-07,3,2.5511105641733348e-05,1.0390823489510113e-05,3,6.130460726877217e-05,1.1333847282986665e-05,3,2.6351485318563412,3.8179871017912754,1.932812228930118
