CP0_ID.BR,CP0_ID.mode.BR,CP0_ID,GENE,BR,Good_bad,CP_plate,batch,Toxic,Series_p2,C12SM,SM28:0,SM28:1,SM28:2,SM30:0,SM30:0-OH,SM30:1-OH,SM30:2,SM30:2-OH,SM30:3,SM30:3-OH,SM32:0,SM32:0-OH,SM32:1,SM32:1-OH,SM32:2,SM32:2-OH,SM32:3,SM32:3-OH,SM34:0,SM34:0-OH,SM34:1,SM34:1-OH,SM34:2,SM34:2-OH,SM34:3,SM36:0,SM36:0-OH,SM36:1,SM36:1-OH,SM36:2,SM36:2-OH,SM36:3-OH,SM38:0,SM38:0-OH,SM38:1,SM38:1-OH,SM38:2,SM38:2-OH,SM38:3,SM38:3-OH,SM40:0,SM40:0-OH,SM40:1,SM40:1-OH,SM40:2,SM40:2-OH,SM40:3,SM40:3-OH,SM40:4-OH,SM42:0,SM42:0-OH,SM42:1,SM42:1-OH,SM42:2,SM42:2-OH,SM42:3,SM42:3-OH,SM44:0,SM44:1,SM44:2,SM44:2+(H2O),SM44:3,C17Cer,Cer28:1,Cer28:2,Cer30:1,Cer30:1-OH,Cer30:2,Cer30:2-OH,Cer32:1,Cer32:1-OH,Cer32:2,Cer32:2-OH,Cer34:1,Cer34:1-OH,Cer34:2,Cer36:1,Cer36:1-OH,Cer36:2,Cer36:2-OH,Cer38:1,Cer38:1-OH,Cer38:2,Cer38:2-OH,Cer38:3-OH,Cer40:1,Cer40:1-OH,Cer40:2,Cer40:2-OH,Cer40:3-OH,Cer42:1,Cer42:1-OH,Cer42:2,Cer42:2-OH,Cer42:3-OH,Cer44:1,Cer44:1-OH,Cer44:2,Cer44:2-OH,CerP30:1,CerP32:1,Cer40:2-OH+(H2O),CerP36:1,CerP38:1,CerP40:1,CerP42:1,CerP44:1,DHCer28:0,DHCer28:1,DHCer30:0,DHCer30:0-OH,DHCer30:1,DHCer32:0,DHCer32:0-OH,DHCer32:1,DHCer34:0,DHCer34:0-OH,DHCer34:1,DHCer36:0,DHCer36:0-OH,DHCer36:1,DHCer38:0,DHCer38:0-OH,DHCer38:1,DHCer40:0,DHCer40:0-OH,DHCer40:1,DHCer42:0,DHCer42:0-OH,DHCer42:1,DHCer44:0,DHCer44:0-OH,DHCer44:1,C8GC,GlcCer28:1,GlcCer28:2,GlcCer30:1,GlcCer30:1-OH,GlcCer30:2,GlcCer30:2-OH,GlcCer32:1,GlcCer32:1-OH,GlcCer32:2,GlcCer32:2-OH,GlcCer34:1,GlcCer34:1-OH,GlcCer34:2,GlcCer34:2-OH,GlcCer36:1,GlcCer36:1-OH,GlcCer36:2,GlcCer36:2-OH,GlcCer38:1,GlcCer38:1-OH,GlcCer38:2,GlcCer38:2-OH,GlcCer40:1,GlcCer40:1-OH,GlcCer40:2,GlcCer40:2-OH,GlcCer42:1,GlcCer42:1-OH,GlcCer42:2,GlcCer42:2-OH,GlcCer44:1,GlcCer44:1-OH,GlcCer44:2,GlcCer44:2-OH,GlcDHCer28:0,GlcDHCer28:1,GlcDHCer30:0,GlcDHCer30:0-OH,GlcDHCer30:1,GlcDHCer32:0,GlcDHCer32:0-OH,GlcDHCer32:1,GlcDHCer34:0,GlcDHCer34:0-OH,GlcDHCer34:1,GlcDHCer36:0,GlcDHCer36:0-OH,GlcDHCer36:1,GlcDHCer38:0,GlcDHCer38:0-OH,GlcDHCer38:1,GlcDHCer40:0,GlcDHCer40:0-OH,GlcDHCer40:1,GlcDHCer42:0,GlcDHCer42:0-OH,GlcDHCer42:1,GlcDHCer44:0,GlcDHCer44:0-OH,GlcDHCer44:1
CP0003_1,CP0003_p2_1_A.2,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,17.04,47.65,12.51,1352.76,29.05,36.18,20.24,60.93,2.9,31.37,86.36,63.51,677.71,49.34,40.98,406.59,3.87,15,701.84,216.25,7531.25,360.97,611.06,238.92,7.77,244.17,58.25,1123.55,365.59,218.25,191.68,27.28,180.74,16.14,498.43,94.53,134.77,257.48,7.18,89.28,293.9,33.09,2554.96,306.37,1633.72,1016.21,116.17,1160.06,143.5,390.49,53.09,4012.85,349.87,11359.2,676.52,2340.19,565.08,55.99,124.08,138.12,25.32,57.97,5000,?,?,63.91,20.42,30.19,24.87,67.05,22.56,20.25,?,677.72,240.02,353.73,168.16,53.22,117.9,74.05,75.94,55.58,166.69,48.3,126.35,722.09,238.38,366.54,440.63,322.31,2606.51,733.43,4658.45,390.3,176.71,80.56,43.07,126.86,52.88,100.57,5572.83,236.77,559.81,50.18,80.42,47.51,53.27,25.63,24.92,?,?,29.91,20.74,?,41.88,72.83,?,117.01,37.91,?,163.2,40.68,79.13,139.18,40.91,32.67,45,95.92,33.16,107.07,39.01,?,?,1000,5.98,6.74,8.05,5.06,3.19,5.88,6.38,2.98,7.21,4.41,26.98,3.53,3.5,4.25,7.77,1.69,0.87,1.73,5.36,2.92,1.38,1.45,51.46,62.71,42.8,23.96,122.11,171.51,224.01,59.36,6.05,2.72,11.71,4.87,2.06,2.6,3.23,2.76,2.31,39.77,2.8,2.91,49.79,1.24,15.47,5.66,0.84,2.07,1.42,1.27,1.66,2.06,2.45,3.38,4.73,4.78,7.88,0.61,0.62,0.8
CP0003_1,CP0003_p2_1_A.1,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,13.53,41.74,11.09,1281.02,23.84,37.1,17.46,47.43,5.93,27.36,74.21,78.26,609.46,62.76,33.61,405.47,2.36,14.52,622.56,191.72,7364.23,397.72,569.61,263.85,9.33,220.89,59.78,1154.48,381.99,277.04,173.87,27.68,186.89,13.56,510.23,89.57,121.93,236.98,9.08,90.94,276.88,34.82,2532.4,265.14,1609.15,921.23,110.66,1013.63,108.14,380.16,37.57,3686.44,312.09,10633.99,659.79,2052.77,529.43,61.17,128.79,125.37,15.52,57.57,5000,19.32,?,82.39,20.8,?,?,46.83,?,17.44,?,621.54,164.97,262.01,152.66,39.77,70.9,29.81,88.11,89.98,148.59,62.44,63.25,665.81,222.43,390.22,394.48,348.92,2631.78,723.32,4223.78,294.67,240.28,89.06,?,160.79,28.8,105.4,4893.15,218.49,423.37,29.51,75.69,25.93,17.78,?,?,?,?,33.09,19.69,?,28.45,40.54,?,104.93,?,?,128.81,27.99,50.57,104.49,27.93,25.09,30.74,76.21,48.68,115.53,30.33,23.75,?,1000,6.75,7.91,8.88,6.27,2.64,7.54,3.27,2.6,4.48,1.96,26.38,4.97,5.22,2.9,5.56,3.09,0.93,1.65,3.82,2.39,1.84,2.4,56.26,62.77,47.51,24.77,124.12,156.77,210.41,49.9,4.4,3.88,10.03,3.63,1.83,2.42,2.71,2.72,1.32,34.9,2.73,3.32,51.68,1.38,16.07,5.59,0.93,2.16,2.21,1.91,0.72,1.63,2.43,2.45,3.88,4.54,6.42,1.47,1.39,1.32
CP0003_1,CP0003_p2_1_B.3,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,15.91,66.7,18.76,1313.95,28.3,33.34,15.34,66.95,9.29,29.5,78.57,75.55,620.07,63.46,42.24,370.77,4.76,18.08,564.9,209.99,6144.48,391.84,562.36,253.42,3.68,239.64,43.32,1043.47,382.74,244.7,184.94,26.77,187.16,15.53,481.34,91.06,148.05,271.76,15.65,98.91,277.9,32.51,2482.67,275.94,1521.18,913.51,101,1000.13,111.39,346.21,44.69,3519.67,324.05,10399.61,724.84,1880.78,546.27,69.35,109.87,141.63,16.02,50.11,5000,27.82,?,104.05,?,36.25,?,121.73,?,?,53.04,631.06,165.29,337.65,192.82,34.49,159.76,50.32,74.73,64.57,263.58,102.98,74.5,613.03,263.91,353.15,456.77,465.98,2600.53,689.88,4532.3,362.26,182.06,87.69,31.74,223.65,68.61,108.94,7322.17,282.82,531.28,31.98,63.35,51.13,36.97,37.16,?,?,?,36.59,45.3,?,?,74.61,?,143.25,52.92,83,267.17,78.26,135.55,219.36,56.83,26.69,73.08,109.65,58.93,131.28,44.56,28.25,25.77,1000,5.67,5.27,7.84,3.83,3.35,5.86,4.94,2.86,6.47,2.46,18.31,4.31,2.52,4.32,6.45,2.6,1.43,1.77,4.3,1.51,2.45,2.58,47.2,53.07,39.11,16.95,84.64,130.08,161.28,48.97,3.47,2.66,7.29,5.81,1.98,2.22,2.37,1.77,3.4,28.63,3.07,4.23,48.51,1.19,10.12,2.52,2.39,2.01,1.73,1.61,2.54,1.23,1.25,1.72,2.41,3.39,4.36,0.71,0.88,1.14
CP0003_1,CP0003_p2_1_A.3,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,19.05,36.28,13.26,1264.04,21.43,31.13,11.9,61.96,5.01,26.66,77.17,84.04,688.2,61.24,34.43,397.44,5.37,10.06,666.65,204.56,7330.14,391.72,609.69,295.89,8.89,250.39,57.67,1125.98,383.55,271.6,176.75,36.73,185.89,14,495.17,91.25,130.88,240.37,12.22,97.04,290.61,28.33,2568.76,283.4,1496.09,892.7,108.82,993.78,114.32,348.95,29.67,3484.02,308.22,9883.43,607.89,2081.35,496.63,57.69,96.86,137.44,20.24,51.27,5000,21.7,20.49,100.84,22.53,16.8,31.47,48.74,32.43,27.39,35.43,742.79,169,272.93,208.83,32.65,91,59.86,113.49,102.78,149.18,65.52,45.48,813,254.57,401.34,396.21,387.89,3233.15,575.08,5113.86,337.98,181.71,48.59,26.79,167.54,49.45,84.61,4783.76,273.03,618.45,31.89,70.77,17.01,23.12,?,18.31,?,?,19.07,25.41,?,?,83.76,31.66,137.74,52.69,32.54,153.1,29.31,85.73,141.12,53.64,44.29,62.36,89.21,50.97,114.43,22,26.89,30.57,1000,8.13,9.1,8.89,5.39,3.08,8.34,4.55,3.31,5.22,3.34,29.24,4.94,2.75,3.59,8.8,2.01,1.54,2.35,6.36,3.16,1.62,2.19,57.97,69.36,48.07,20.63,115.4,159.3,207.99,53.8,7.26,1.93,8.9,4.01,1.79,2.47,3.33,1.8,1.27,35.78,2.19,2.5,53.99,1.78,14.19,4.45,1.9,3.05,2.32,1.02,1.93,3.33,2.42,2.19,4.12,3.53,7.12,1.43,1.29,1.41
CP0003_1,CP0003_p2_1_B.1,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,15.85,58.6,21.48,1373.49,23.35,35.16,18.75,59.01,7.6,26.61,78.24,66.25,602.51,64.26,30.14,355.27,4.21,13.93,613.62,191.25,6575.27,328.05,534.16,245.02,9.97,249.03,48.68,1027.97,395.45,243.43,187.55,29.78,185.1,15.41,514.65,85.42,137.17,256.9,13.66,89.31,270.38,27.69,2256.15,277.73,1383.21,858.85,116.52,978.88,111.42,296.11,35.18,3074.71,272.21,8931.71,632.74,1775.69,468.67,60.4,96.77,134.67,17.59,53.11,5000,42.74,43.94,115.5,30.33,?,34.98,81.62,34.17,36.59,42.25,740.34,165.76,330.36,247.75,94.12,149.58,62.71,153.55,101.75,266.96,101.28,142.55,735.4,325.3,339.68,428.48,519.32,3236.46,921.39,5371.39,366.84,271.75,137.02,71.15,226.67,73.23,139.27,8505.44,268.64,618.7,63.64,127.98,44.1,85.11,55.36,?,44.04,36.23,66.88,63.27,?,?,90.4,43.84,174.31,87.2,49.57,286.12,49.28,175.49,191.44,76.5,70.34,56.41,86.12,29.84,120.92,51.32,36.05,63.15,1000,5.06,4.67,4.74,3.63,2.31,5.12,3.91,3.32,3.93,3.09,22.85,4.32,3.8,2.3,4.85,1.85,0.83,2.85,3.19,0.83,2,1.54,45.2,52.34,40.47,17.61,76.41,116.75,172.89,40.12,5.34,2.86,10.07,5.46,1.74,1.36,1.33,1.99,2.19,30.85,1.36,2.38,42.9,1.8,9.2,3.16,1.15,0.98,2.4,2.05,1.97,1.41,1.58,2.27,3.64,2.3,6.68,0.69,1.84,0.85
CP0003_1,CP0003_p2_1_B.2,CP0003,HeLa MZ,BR1,Good,CP001,CP001_BR1,no,1,25000,21.79,62.13,21.79,1360.42,38.5,39.85,21.31,56.1,10.13,28.43,86.16,84.02,596.19,61.54,40.26,400.67,7.66,13.57,650.46,208.85,6777.75,408.42,567.88,255.15,8.88,234.37,57.76,1035.82,389.7,265.59,196.85,43.53,194.41,18.49,554.55,99.24,125.63,255.75,8.88,90.74,293.08,28.93,2423.98,282.81,1561.95,922.26,106.46,1061.44,126.36,375.53,39.75,3708.32,328.27,9409.75,666.27,1993.68,501.08,61.74,127.1,122.12,18.07,48.33,5000,?,?,96.62,?,?,28.31,99.75,29.95,?,?,762.69,167.76,402.72,258.64,47.19,178.93,92.04,109.62,91.32,257.16,47,139.28,743.76,309.34,391.17,428.49,448.62,2984.5,817.54,5327.02,338.42,208.19,104.68,?,189.75,93.63,128.81,8270.68,277.48,645.57,60.27,55.61,72.66,30.51,?,?,45.98,48.53,49.26,48.6,52.59,27.22,67.28,?,158.18,91.12,52.85,196.36,109.09,107,221.53,37.85,70.85,80.74,94.8,52.21,184.69,?,?,?,1000,8.1,7.28,6.97,4.67,3,6.6,5.24,3.07,6.51,3.68,20.2,4.48,3.91,2.52,10.64,1.52,1.17,1.28,6.24,2.29,1.35,2.79,51.04,50.92,35.7,18.16,93.16,127.41,189.2,46.29,4.84,3.89,8.36,5.46,2.06,1.28,2.76,0.96,1.81,25.87,1.46,4.04,39.43,2.29,9.84,3.41,2.23,1.44,3.13,1.16,1.41,1.73,1.57,1.4,2.78,3.74,4.99,0.8,1.03,0.46
CP0003_2,CP0003_p2_2_A.2,CP0003,HeLa MZ,BR2,Good,CP001,CP001_BR2,no,2,25000,16.16,55.58,15.66,1454.41,7.79,37.11,19.78,46.67,5.6,29.45,58.48,56.52,429.71,46.55,24.34,269.2,2.73,12.99,419.02,145.27,5006.28,310.09,386.25,180,3.36,97.41,41.93,605.08,326.04,150.17,138.79,26.22,56.25,9.96,287.16,70.76,78.68,180.5,6.17,58.22,167.43,17.65,1560.07,148.91,869.11,542,62.8,590.05,71.02,271.01,23.48,2859.88,220.27,7339.64,507.39,1301.6,451.32,56.21,97.67,131.94,10.4,53.78,5000,21.19,57.82,105.62,22.89,31.46,14.72,136.25,19.2,45.21,60.21,606.37,175.54,259.51,176.81,33.65,130.96,61.33,87.34,39.15,180.96,58.48,46.2,459.57,285.65,250.66,484.3,573.44,2759.09,511.18,4744.36,218.28,151.12,77.45,58.59,123.64,47.44,67.52,4832.29,430.72,447.94,52.6,64.79,34.33,53.39,26.38,31.09,22.34,42.61,44.24,51.57,18.8,47.79,63.1,29.47,210.26,98.47,63.67,244.2,19.74,68.63,167.2,49.21,?,43.54,94.06,51.46,142.65,26.29,17.58,18.85,1000,4.91,5.42,8.67,4.48,2.1,6.21,3.58,1.48,3.59,2.75,13.13,2.75,2.02,1.47,4.16,0.98,1.09,1.4,2.9,1.21,0.67,1.33,23.04,21.93,15.59,9.85,67.22,65.79,111.64,19.07,3.19,1.83,4.45,2.51,3.3,2.19,2,1.71,4.49,16.33,1.26,0.81,33.81,1.05,7.02,1.7,0.83,13.02,9.14,0.64,2.04,1.51,1.02,1.37,3.03,1.89,3.96,0.69,0.15,0.86
CP0003_2,CP0003_p2_2_A.1,CP0003,HeLa MZ,BR2,Good,CP001,CP001_BR2,no,2,25000,11.44,42.12,10.25,1305.56,8.96,26.09,13.14,46.11,2.26,23.36,75.18,105.26,684.64,78.58,35.56,445.02,2.37,10.23,904.93,209.69,9820.78,379.52,687.36,255.3,3.12,125.64,54.8,611.5,391.57,185.99,157.15,26.72,61.12,10.33,428.14,94.71,111.55,206.62,8.89,76.93,292.47,15.32,2217.28,127.54,1027.72,816.87,64.48,1214.12,93.4,197.13,18.68,2266.33,159.25,10645.47,385.74,2113.4,325.36,42.7,79.68,81.47,9.24,33.69,5000,?,32.4,101.43,28.01,29.94,22.41,150.14,34.22,26.98,44.29,678.78,190.8,268.22,224.69,62.16,108.7,56.32,75.7,69.54,171.63,52.94,75.65,948.33,252.26,398.2,481.23,457.36,5058.29,1314.92,6341.98,745,359.06,169,23.19,292.51,29.55,104.47,5214.67,314.3,712.02,103.89,123.43,44.79,44.91,20.23,27.57,31.63,95.79,34.15,46.52,19.14,33.98,39.48,26.8,280.35,102.36,42.23,267.05,29.15,75.12,138.71,38.4,23.76,40.01,126.11,66.76,120.94,41.22,43.28,26.41,1000,7.88,10.14,6.79,5.11,3.07,10.61,4.43,1.48,5.47,3.87,22.37,3.41,3.08,1.62,6.61,1.28,2.18,1.23,6.57,1.86,2.66,1.28,42.31,39.74,38.95,20.96,143.4,64.5,271.84,20.75,4.32,1.85,3.69,2.93,2.12,1.89,2.83,1.58,3.43,30.75,2.35,1.27,96.8,0.79,16.96,3.41,1.3,10.35,9.34,1.09,3.18,2.5,1.26,1.7,6.48,1.29,8.07,0.67,0.38,0.89
CP0003_2,CP0003_p2_2_B.3,CP0003,HeLa MZ,BR2,Good,CP001,CP001_BR2,no,2,25000,16.53,70.41,17.85,1336.16,9.47,37.05,20.93,62.71,5.68,35.07,61.06,70.3,511.84,74.89,35.83,341.75,7.74,13.39,884.42,429.59,9342.46,687.89,556.83,424.87,9.85,130.79,50.86,766.03,364.19,181.12,158.23,24.85,142.09,18.22,700.4,186.33,162.43,411.09,11.92,137.75,299,63.57,3266.83,372.7,2548.02,1274.38,159.66,1747.51,270.02,803.03,59.28,7905.56,605.28,25140.94,1383.54,4085.01,1111.12,70.9,117.19,223.63,29.63,137.74,5000,45.45,44.9,102.77,26.52,31.73,?,187.12,36.66,72.43,51.41,427.96,204.16,177.78,223.55,50.59,139.2,85,115.65,61.09,197.36,108.93,91.86,793.15,305.7,653.1,525.58,724.22,1932.93,451.18,2818.88,214.17,202.95,70.89,40.71,135.37,70.88,105.1,5653.67,614.03,407.73,84.61,88.07,61.27,20.22,16.24,22.48,33.68,92.02,29.69,62.69,37.39,58.74,104.3,52.83,307.02,95.19,72.55,301.83,49.85,102.56,152.84,79.26,48.66,45.59,65.37,58.64,92.25,24.99,24.87,?,1000,7.46,9.29,8.01,4.73,3.44,6.13,2.78,1.83,3.36,3.69,17.23,4.29,3.19,3.23,7.82,1,2.7,1.53,5.01,2.93,1.41,2.11,69.7,58.96,59.43,30.3,208.39,281.85,327.32,54.69,8.7,1.58,10.48,2.1,2.39,2.64,2.78,1.87,4.11,19.32,1.9,1.73,44.3,1.64,8.21,2.53,0.75,8.95,6.17,1.59,2.19,3.07,2.31,1.43,7.56,4.99,9.45,1.24,0.68,0.79
CP0003_2,CP0003_p2_2_B.1,CP0003,HeLa MZ,BR2,Good,CP001,CP001_BR2,no,2,25000,12.41,48.3,5.98,1317.8,12.83,28.79,15.56,54.49,3.88,24.04,80.24,67.64,770.64,56.21,39.16,374.29,3.15,13.49,915.15,310.96,9376.44,580.45,564.25,424.78,6.82,209.51,85.27,1463.35,699.58,334.35,370.03,50.24,113.91,8.93,428.01,83.92,130.46,172.14,10.03,116.64,143.78,16.18,1692.04,145.88,937.15,564.48,54.39,622.51,71.85,219.79,20.63,2139.49,162.87,5522.86,395.32,1240.96,381.87,44.65,72.5,95.54,11.37,39.36,5000,16.89,20.11,79.4,12.18,20.26,12.73,110.11,19.62,24.77,29.49,362.42,115.08,155.67,144.85,30.49,47.44,33.6,95.01,34.21,69.47,20.41,27.29,557.96,137.13,212.5,327.85,323.24,2086.56,516.07,3219.76,196.54,116.15,109.07,21.96,190.26,17.42,44.98,2634.43,207.85,394.05,49.51,66.12,21.52,15.3,8.27,19.36,15.66,53.56,17.57,32.16,16.82,23.13,38.06,21.25,160.49,39.68,25.25,124.3,21.13,38.57,44.19,35.89,17.2,25.57,62.22,31.05,77.52,15.44,22.58,10.22,1000,9.81,8.89,6.67,5.43,2.69,6.76,3.78,1.73,6.07,2.55,41.71,6.16,5.7,3.11,9.9,3.61,2.35,3.06,6.76,1.99,2.41,2.94,30.27,32.1,40.48,16.29,75.13,78.31,129.09,27.3,6.07,1.04,5.25,3.19,2.37,2.65,2.14,2.32,4.15,33.56,1.45,1.11,76.36,1.46,12.78,5.28,2,12,8.06,3.24,3.25,2.65,2.26,3.04,3.05,2.73,2.63,1.14,0.34,1.08
